client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8	common_voice_en_38491552.mp3	This above all is what made the Chicago rivalry unique in Major League Baseball.	0	2	fifties	male	German English,Non native speaker		en	
372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8	common_voice_en_38491622.mp3	Many episodes and scenes were borrowed from various medieval Spanish and Italian authors.	0	2	fifties	male	German English,Non native speaker		en	
a7ed9304a14df702cdef85a96308592c0c81eca81e82cdd65da5e13ba6d5689d4318d0e7459b51d5cd0ef3edadc0244cc2e80e605ee7171c8782e0ab719d9d3f	common_voice_en_38492275.mp3	Once upon a time, Cricket Was My Reason For Living.	0	2	twenties	female	Southern African (South Africa, Zimbabwe, Namibia)		en	
a7ed9304a14df702cdef85a96308592c0c81eca81e82cdd65da5e13ba6d5689d4318d0e7459b51d5cd0ef3edadc0244cc2e80e605ee7171c8782e0ab719d9d3f	common_voice_en_38492276.mp3	After his death, Hutton petitioned to have gun safety regulations tightened on film sets.	4	4	twenties	female	Southern African (South Africa, Zimbabwe, Namibia)		en	
a7ed9304a14df702cdef85a96308592c0c81eca81e82cdd65da5e13ba6d5689d4318d0e7459b51d5cd0ef3edadc0244cc2e80e605ee7171c8782e0ab719d9d3f	common_voice_en_38492281.mp3	She was named for the clamagore.	0	2	twenties	female	Southern African (South Africa, Zimbabwe, Namibia)		en	
a7ed9304a14df702cdef85a96308592c0c81eca81e82cdd65da5e13ba6d5689d4318d0e7459b51d5cd0ef3edadc0244cc2e80e605ee7171c8782e0ab719d9d3f	common_voice_en_38492290.mp3	These experiences laid the intellectual groundwork for the ethical movement.	0	2	twenties	female	Southern African (South Africa, Zimbabwe, Namibia)		en	
a7ed9304a14df702cdef85a96308592c0c81eca81e82cdd65da5e13ba6d5689d4318d0e7459b51d5cd0ef3edadc0244cc2e80e605ee7171c8782e0ab719d9d3f	common_voice_en_38492321.mp3	They are notable as one of the pioneers of the Yugoslav rock scene.	0	2	twenties	female	Southern African (South Africa, Zimbabwe, Namibia)		en	
a7ed9304a14df702cdef85a96308592c0c81eca81e82cdd65da5e13ba6d5689d4318d0e7459b51d5cd0ef3edadc0244cc2e80e605ee7171c8782e0ab719d9d3f	common_voice_en_38492408.mp3	It's "Allen Cunningham"!	0	2	twenties	female	Southern African (South Africa, Zimbabwe, Namibia)		en	
a7ed9304a14df702cdef85a96308592c0c81eca81e82cdd65da5e13ba6d5689d4318d0e7459b51d5cd0ef3edadc0244cc2e80e605ee7171c8782e0ab719d9d3f	common_voice_en_38492483.mp3	Coboconk and Tweed make similar claims of their jails.	0	2	twenties	female	Southern African (South Africa, Zimbabwe, Namibia)		en	
a7ed9304a14df702cdef85a96308592c0c81eca81e82cdd65da5e13ba6d5689d4318d0e7459b51d5cd0ef3edadc0244cc2e80e605ee7171c8782e0ab719d9d3f	common_voice_en_38492485.mp3	Each type of transmission line has a specific characteristic impedance.	2	2	twenties	female	Southern African (South Africa, Zimbabwe, Namibia)		en	
a7ed9304a14df702cdef85a96308592c0c81eca81e82cdd65da5e13ba6d5689d4318d0e7459b51d5cd0ef3edadc0244cc2e80e605ee7171c8782e0ab719d9d3f	common_voice_en_38492502.mp3	But Beauclerk as a vicar was "completely devoid of Christian charity".	0	2	twenties	female	Southern African (South Africa, Zimbabwe, Namibia)		en	
a7ed9304a14df702cdef85a96308592c0c81eca81e82cdd65da5e13ba6d5689d4318d0e7459b51d5cd0ef3edadc0244cc2e80e605ee7171c8782e0ab719d9d3f	common_voice_en_38492560.mp3	He is also a singer and songwriter.	0	2	twenties	female	Southern African (South Africa, Zimbabwe, Namibia)		en	
a7ed9304a14df702cdef85a96308592c0c81eca81e82cdd65da5e13ba6d5689d4318d0e7459b51d5cd0ef3edadc0244cc2e80e605ee7171c8782e0ab719d9d3f	common_voice_en_38492561.mp3	Pressure is bled off of the head catcher to release the tools.	0	2	twenties	female	Southern African (South Africa, Zimbabwe, Namibia)		en	
a7ed9304a14df702cdef85a96308592c0c81eca81e82cdd65da5e13ba6d5689d4318d0e7459b51d5cd0ef3edadc0244cc2e80e605ee7171c8782e0ab719d9d3f	common_voice_en_38492572.mp3	The Oddballs are a comedy act in the United Kingdom.	0	2	twenties	female	Southern African (South Africa, Zimbabwe, Namibia)		en	
a7ed9304a14df702cdef85a96308592c0c81eca81e82cdd65da5e13ba6d5689d4318d0e7459b51d5cd0ef3edadc0244cc2e80e605ee7171c8782e0ab719d9d3f	common_voice_en_38492589.mp3	Russian and Turkish forces are continuing their joint patrols.	0	2	twenties	female	Southern African (South Africa, Zimbabwe, Namibia)		en	
