clip	duration[ms]
common_voice_en_38739592.mp3	7056
common_voice_en_38964148.mp3	3492
common_voice_en_38694636.mp3	3636
common_voice_en_38627562.mp3	5256
common_voice_en_39017255.mp3	4608
common_voice_en_38688600.mp3	2592
common_voice_en_39147845.mp3	7416
common_voice_en_38508312.mp3	7704
common_voice_en_39004555.mp3	3960
common_voice_en_38803031.mp3	8136
common_voice_en_39254149.mp3	5796
common_voice_en_38529079.mp3	6768
common_voice_en_39177949.mp3	5400
common_voice_en_38550549.mp3	6804
common_voice_en_38747302.mp3	5616
common_voice_en_39196394.mp3	4608
common_voice_en_39363330.mp3	7308
common_voice_en_39093959.mp3	5616
common_voice_en_38557379.mp3	8100
common_voice_en_38688620.mp3	7992
common_voice_en_39316342.mp3	9252
common_voice_en_39570379.mp3	3888
common_voice_en_38717773.mp3	6192
common_voice_en_39108172.mp3	5220
common_voice_en_39202735.mp3	3240
common_voice_en_38580284.mp3	4968
common_voice_en_38810280.mp3	8280
common_voice_en_38795349.mp3	7776
common_voice_en_38502597.mp3	4932
common_voice_en_39258983.mp3	2916
common_voice_en_39015367.mp3	2916
common_voice_en_39195215.mp3	7416
common_voice_en_39331715.mp3	3600
common_voice_en_39582921.mp3	4896
common_voice_en_38851902.mp3	5796
common_voice_en_38723251.mp3	4500
common_voice_en_39233324.mp3	2196
common_voice_en_38550522.mp3	7956
common_voice_en_38717232.mp3	6768
common_voice_en_38516678.mp3	5256
common_voice_en_38747345.mp3	5688
common_voice_en_39415873.mp3	4536
common_voice_en_39494620.mp3	2916
common_voice_en_38579694.mp3	6912
common_voice_en_38753285.mp3	6876
common_voice_en_38787060.mp3	6660
common_voice_en_39034313.mp3	4500
common_voice_en_38676161.mp3	7128
common_voice_en_38565559.mp3	4860
common_voice_en_39580040.mp3	3780
common_voice_en_38674065.mp3	8712
common_voice_en_38822792.mp3	6048
common_voice_en_39233971.mp3	80748
common_voice_en_39093977.mp3	2484
common_voice_en_38852915.mp3	3996
common_voice_en_38667492.mp3	3708
common_voice_en_38878619.mp3	4248
common_voice_en_38559306.mp3	7092
common_voice_en_38495792.mp3	5796
